Achillea filipendulina 'Coronation Gold';30-36 in;18-24 in;24-36 in;3 - 8;Bright Yellow;
Heuchera villosa 'Autumn Bride';1-2 ft;3-4 ft;18-24 in;4-8;White;
Hibiscus moscheutos;4-7 ft;3-4 ft;3-6 ft;5-8;Pink, White;
Hibiscus moscheutos 'Disco Belle Pink';24-30 in;18-24 in;24-36 in;4-9;Pink;
Hibiscus moscheutos 'Disco Belle Red';24-30 in;18-24 in;24-36 in;4-9;Red;
Hypericum calycinum;12-18 in;18-24 in;24 in;5 - 9;Bright Yellow;
Hypericum prolificum;1-5 ft;1-4 ft;2 ft;3-8;Gold, Green;
Iris fulva;2-3 Feet; ;;5-9;Copper;
Iris versicolor;2-3 ft;2-3 ft; ;2-7;Blue;
Iris virginica;2 ft;2-3 ft; ;5-9;Blue;
Juncus effusus;3-4 ft;2-3 ft;2 ft;2-9;Insignificant;
Juncus tenuis;6-24 in;6-24 in;12 in;3-9;Green, Tan;
Kalimeris incisa 'Blue Star';12-18 in;12-18 in;18-24 in;5 - 9;Light Blue;
Kniphofia uvaria 'Flamenco Mixture';2-3 ft;1-2 ft;20 in;5 - 9;Cream, Orange, Red, Yellow;
Koeleria macrantha;1-2 ft;1-2 ft;2-3 ft;3-9;Green, Tan;
Leucanthemum superbum 'Becky';3-4 ft;2-3 ft;3-4 ft;5 - 9;White;
Liatris aspera;2-5 ft;1-2 ft;18-24 in;3-9;Purple;
Liatris ligulistylis;1-3 ft;1 ft;18 in;3-8;Purple;
Liatris microcephala;2 ft;1 ft;18-24 in;4-8;Purple, Rose;
Liatris pycnostachya;2-5 ft;1-2 ft; ;3-9;Purple, Rose;
Liatris scariosa;3-5 ft;1-2 Feet;18-24 in;3-8;Purple;
Liatris spicata;3-6 ft;2 ft;2-3 ft;3-9;Purple, Purple Red;
Liatris spicata 'Kobold';24-30 Inches;2 ft;12-18 in;3-8;Purple, Rose;
Limonium latifolium;18-30 in;12-18 in;18-24 in;4 - 9;Lavender-Blue;
Lobelia cardinalis;2-5 ft;1-2 ft;18-24 in;3-9;Red;
Lobelia cardinalis 'New Moon Maroon';2-4 ft;1-2 ft;1 ft;4-8;Red;
Lobelia siphilitica;1-4 ft;12-18 in;18-24 in;4-8;Blue, Violet;
Luzula acuminata;1-2 ft;1-2 ft;2 ft;3-8;Green;
Lychnis chalcedonica 'Burning Love';15-18 in;8-12 in;16-24 in;3 - 8;Red;
Lysimachia lanceolata var. purpurea;1-2 ft;1-2 ft;18 in;4-8;Yellow;
Molinia caerulea ssp. arundinacea 'Windspiel';6-7 ft;18-24 in;2-3 ft;4-9;Tan;
Molinia caerulea subsp. caerulea 'Edith Dudszus';24-30 in;24-30 in;30-36 in;4 - 8;Purple;
Molinia caerulea subsp. caerulea 'Heidebraut';3-4 ft;12-18 in;18-24 in;5 - 9;Gold;
Molinia caerulea subsp. caerulea 'Moorhexe';2-3 ft;18-24 in;2-3 ft;4 - 9;Purple;
Monarda bradburiana;1-2 ft;1-2 ft;18 in;5-8;Pink, White;
Monarda didyma;2-3 ft;2-3 ft;2 ft;4-7;Red;
Monarda didyma 'Gardenview Scarlet';2-3 ft;2-3 ft;2 ft;4-9;Red;
Monarda didyma 'Jacob Cline';3-5 ft;2-3 ft;2 ft;4-8;Red;
Monarda fistulosa;2-4 ft;2-3 ft;12-18 in;3-8;Purple;
Monarda fistulosa 'Claire Grace';2-3 ft;2-3 ft;1-2 ft;3-8;Purple;
Monarda punctata;1-3 ft;9-12 in; ;4-9;Cream, Purple;
Monarda x 'Judith's Fancy Fuchsia';3-4 ft;2 ft;18 in;4-9;Fuschia;
Monarda x 'Raspberry Wine';24-30 in;2 ft;18 in;4-9;Pink-violet;
Muhlenbergia capillaris;3-4 ft;3-4 ft;4 ft;6-11;Pink, Purple;
Nassella tenuissima;12-24 in;12 in;12 in;6-10;White;
Nepeta racemosa 'Walker's Low';2-3 ft;3 ft; ;4-9;Blue;
Nepeta subsessilis;18-24 in;12-18 in;18-24 in;4 - 8;Lavender-Blue;
Oenothera fruiticosa 'Fireworks';12-18 in;1-2 ft; ;4-9;Yellow;
Oenothera fruticosa;1-3 ft;1-3 ft;2 ft;4-9;Yellow;
Origanum laevigatum 'Herrenhausen';1-2 ft;1-2 ft;2-3 ft;6-9;Purple;
Panicum virgatum;3-6 ft;2-3 ft; ;3-9;Green, Tan;
Panicum virgatum 'Cape Breeze';24-30 Inches;18-24 ft;18 in;4-9;Blue Green, Yellow;
Panicum virgatum 'Cloud Nine';6-8 ft;2-3 ft;4 ft;4-9;Green, Tan;
Panicum virgatum 'Heavy Metal';3-4 ft;1-2 ft;3 ft;4-9;Blue, Tan;
Panicum virgatum 'North Wind';4-6 ft;2-3 ft;3 ft;4-9;Blue Green, Yellow;
Panicum virgatum 'Prairie Sky';3-5 ft;2-3 ft;3 ft;3-9;Green;
Panicum virgatum 'Shenandoah';2-3 ft;2 ft;3 ft;4-9;Burgundy, Green;
Parthenium integrifolium;2-4 Feet;2-3 ft;2-3 ft;4-8;White;
Patrinia scabiosifolia;3-6 ft;18-24 in;24-36 in;5 - 8;Yellow;
Pennisetum alopecuroides;3-4 ft;3 ft;4 ft;5-9;Green;
Pennisetum alopecuroides 'Cassian';24-30 in;24-30 in;30-48 in;5 - 9;White;
Pennisetum alopecuroides 'Hameln';1-2 ft;1-2 ft;3 ft;6-8;Pink, White;
Penstemon calycosus;2-3 ft;1-2 ft; ;5-8;Lavender, White;
Penstemon digitalis;2-4 ft;1-2 ft; ;3-8;White;
Penstemon digitalis 'Husker Red';2-3 ft;1-2 ft; ;4-8;White;
Penstemon digitalis 'Pocahontas';3-4 ft;2-3 ft;3-4 ft;4-8;Lavender;
Penstemon hirsutus;18 Inches;10-12 Inches;10-12 in;3-9;Purple;
Penstemon smallii;1-2 ft;1 ft; ;5-8;Pink;
Perovskia atriplicifolia;3-5 ft;2-4 ft;3-4 ft;5 - 9;Lavender-Blue;
Phlox divaricata;12-18 in;10-15 m;12 in;3-8;Lavender, Rose;
Phlox divaricata 'Blue Moon';1 ft;1 ft; ;4-8;Blue;
Phlox divaricata 'May Breeze';12-15 in;12-15 in;18 in;4-8;Light Blue;
Phlox glaberrima 'Morris Berd';1-2 ft;1-2 ft;18 in;3-8;Pink;
Phlox maculata;2-3 ft;1-2 ft;18 in;4-8;Pink, Violet;
Phlox paniculata;2-5 ft;1-3 ft;3 ft;4-8;Lavender, Pink;
Phlox paniculata 'David';3-4 ft;2-3 ft;3 ft;4-8;White;
Phlox paniculata 'Jeana';2-4 ft;2-3 ft; ;4-8;Pink;
Phlox paniculata 'Robert Poore';4-5 ft;2-3 ft; ;4-8;Purple, Rose;
Phlox stolonifera;6-8 in;2 ft; ;5-9;Pink, Purple;
Phlox stolonifera 'Blue Ridge';6-8 in;2 ft; ;5-9;Violet Blue;
Phlox stolonifera 'Bruce's White';8-12 in;2 ft;2 ft;5-9;White;
Phlox stolonifera 'Sherwood Purple';6-8 in;6-12 in; ;5-9;Violet;
Phlox subulata;6 in;1-2 ft; ;3-9;Lavender, Pink;
Phlox subulata 'Emerald Blue';3-4 in;12-18 in;12 in;3-9;Blue;
Phlox subulata 'Emerald Pink';6 in; ;;3-9;Pink;
Physostegia virginiana;3-4 ft;2-3 ft; ;3-9;Pink;
Physostegia virginiana 'Vivid';2 ft;12-18 in;18 in;3-9;Pink;
Polemonium reptans;12-18 in;12-18 in;24 in;4-8;Blue;
Pycnanthemum flexuosum;2-3 Feet;3-4 ft;2 ft;5-8;White;
Pycnanthemum incanum;3-4 Feet;2-3 ft;2 ft;5-8;White;
Pycnanthemum muticum;2-3 ft;2 ft;2 ft;4-8;Pink, White;
Pycnanthemum tenuifolium;2-3 ft;2-3 ft;2 ft;4-8;White;
Pycnanthemum virginianum;2-3 ft;12-18 in;18-24 in;3 - 7;White;
Ratibida pinnata;2-5 ft;2 ft;2-3 ft;3-10;Bright Yellow;
Rudbeckia fulgida 'Goldsturm';2-3 ft;2 ft;2 ft;4-9;Yellow;
Rudbeckia fulgida v. deamii;3 ft;2 ft;2 ft;4-9;Yellow Orange;
Rudbeckia fulgida v. deamii 'American Gold Rush PP#28498';18-24 in;2 ft;2 ft;3-9;Yellow Orange;
Rudbeckia fulgida v. fulgida;2-3 ft;1-2 ft;2 ft;5-9;Yellow;
Rudbeckia grandiflora 'Sundance';3-4 ft;2-3 ft;2-3 ft;5 - 8;Bright Yellow;
Rudbeckia hirta;2-3 ft;1-2 ft;2 ft;3-9;Yellow;
Rudbeckia laciniata;3-8 ft;2-4 ft;3 ft;4-9;Yellow;
Rudbeckia laciniata 'Autumn Sun';4-7 ft;3-4 ft;18 Inches;4-9;Yellow;
Rudbeckia maxima;6-8 ft;3-4 ft;4 ft;5-9;Yellow;
Rudbeckia subtomentosa;2-6 Feet;1-2 Feet;24-36 in;4-9;Yellow;
Rudbeckia triloba;2-5 ft;2-3 ft;3 ft;4-8;Yellow;
Ruellia humilis;1-2 ft;1 ft;18 in;4-8;Pink;
Salvia lyrata 'Purple Knockout';18 in;12-15 in;12-24 in;4-9;Blue;
Salvia nemorosa 'Caradonna';1-2 ft;1-2 ft;2 ft;4 - 8;Purple;
Salvia nemorosa 'East Freisland';12-18 in;9-12 in;12-18 in;4 - 8;Blue Violet;
Salvia nemorosa 'Wesuwe';12-18 in;12-18 in;18-24 in;3 - 8;Purple;
Salvia x sylvestris 'Blue Hill';18-24 in;12-18 in;18-24 in;4 - 8;Light Blue;
Salvia x sylvestris 'May Night';18-24 in;12-18 in; ;4 - 8;Purple;
Salvia x sylvestris 'Snow Hill';18-24 in;12-18 in;18-24 in;4 - 8;White;
Sanguisorba officinalis;30-36 in;24-36 in;24 in;4 - 8;Purple Red;
Schizachyrium scoparium;2-4 ft;2-3 ft;12-18 inches;4-10;Green, Tan;
Schizachyrium scoparium 'Jazz';2 ft;1-2 ft;12-18 in;4-9;Green, Tan;
Schizachyrium scoparium 'Standing Ovation PP 25202';3-4 ft;12-18 in;12-18 in;3-8;Silver;
Schizachyrium scoparium 'The Blues';2-3 ft;1-2 ft;12-18 in;4-9;Green, Tan;
Scirpus atrovirens;3-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;
Scirpus cyperinus;3-6 ft;3-5 ft;4 ft;4-9;Green, Tan;
Scirpus validus (tabernaemontani);6-8 ft;4-5 ft;4 ft;3-9;Green, Tan;
Scutellaria incana;2-3 ft;1-2 ft;2 ft;4-9;Lavender-Blue;
Sedum cauticola 'Lidakense';3-4 in;8-12 in;8 in;4 - 11;Rose;
Sedum sieboldii;6-12 in;10-12 in;12 in;3 - 9;Pink;
Sedum spectabile 'Autumn Joy';18-24 in;18-24 in;18-24 in;3 - 9;Rose;
Sedum ternatum;2-3 in;6-12 in;8 in;3-9;White;
Senecio aureus;1-2 ft;1 ft;18 in;4-9;Yellow;
Sesleria autumnalis;9-24 in;12-18 in;18-24 in;5-9;White;
Sesleria x 'Greenlee Hybrid';8-12 in;8-12 in;16-24 in;5-9;White;
Silene caroliniana;1 ft;9-12 in;12-18 in;4-8;Pink;
Silene virginica;1-2 ft;1-2 ft;18-24 in;4-8;Red;
Silphium laciniatum;5-9 ft;2-3 ft;2-3 ft;3 - 8;Yellow;
Silphium perfoliatum;4-10 ft;4-6 ft; ;4-8;Yellow;
Silphium terebinthinaceum;3-10 ft;1-3 ft;2-3 ft;4 - 8;Yellow;
Sisyrinchium angustifolium 'Lucerne';10-12 in;6-12 in;12 in;5-9;Blue;
Sisyrinchium angustifolium 'Suwannee';8-12 in;12-18 in;18 in;6-9;Blue;
Solidago bicolor;1-3 ft;1 ft;12-18 in;3 - 8;White;
Solidago caesia;2-3 ft;1-2 ft;2 ft;4-8;Yellow;
Solidago flexicaulis;3 ft;1-2 ft;2-3 ft;2-9;Yellow;
Solidago graminifolia;2-4 ft;1-2 ft;2 ft;3-9;Yellow;
Solidago nemoralis;6-30 in;6-30 in;12-30 in;3-9;Yellow;
Solidago rigida;2-5 ft;1-2 ft;2-3 ft;3-9;Yellow;
Solidago rigida ssp. humilis 'Golden Rockets';2 ft;2 ft;2-3 ft;3 - 9;Yellow;
Solidago rugosa 'Fireworks';3-4 ft;2-3 ft;3-4 ft;4-9;Yellow;
Solidago speciosa;3-5 ft;2-3 ft;36-48 in;3-8;Yellow;
Sorghastrum nutans;3-5 ft;2-3 ft;3 ft;2-9;Green, Tan;
Sporobolus airoides;4 ft;2 ft;3 ft;4-9;Purple, Yellow;
Sporobolus heterolepis;1-2 ft;2-3 ft; ;3-8;Green, Tan;
Stachys officinalis;18-24 in;12-18 in;18-24 in;4 - 8;Red Violet;
Stachys officinalis 'Hummello';18-24 in;18-24 in;12-18 in;4 - 8;Red Violet;
Stachys x 'Summer Crush';24-30 in;1-2 ft;12-18 in;4-9;Pink, White;
Teucrium chamaedrys;9-12 in;12-24 in;12 in;5 - 9;Lavender-Pink;
Thalictrum rochebrunianim;4-6 ft;2 ft;2-3 ft;4-7;Purple;
Thermopsis villosa;5 ft;2-3 ft; ;4-9;Yellow;
Tiarella 'New Moon Motley';8-12 in;12-24 in;12-18 in;4-8;White;
Tiarella cordifolia;6-12 Inches;1-2 ft;24-36 in;4-9;White;
Tiarella cordifolia wherryi;10 Inches;10 in;20-24 in;5-7;White;
Tradescantia ohiensis;2-4 ft;2-3 ft; ;5-8;Light Blue;
Tradescantia ohiensis 'Mrs. Loewer';2-3 ft;1-2 ft;18-24 in;3-8;Light Blue;
Tradescantia virginiana;2-3 ft;1-2 ft;18-24 in;4-9;Lavender;
Verbena bonariensis;2-4 ft;18-36 in;1 ft;7 - 11;Purple;
Verbena hastata;2-6 ft;1-2 ft;18-24 in;3-9;Purple;
Vernonia glauca;3-5 ft;2-4 ft;3 ft;6-8;Purple;
Vernonia lettermannii 'Iron Butterfly';2-3 ft;2-3 ft;2-4 ft;4-9;Purple;
Vernonia noveborecensis;4-8 ft;2-4 ft;2-4 ft;5-9;Purple;
Veronicastrum virginicum;4-8 ft;2-3 ft;2-3 ft;3-8;White;
Viola sororia;4-6 in;6 in;6-8 in;3-7;Blue, White;
Viola striata;8-12 in;8-12 in;12-18 in;4 - 7;Cream, Purple;
Waldsteinia fragarioides;3-6 in;12 in;18-24 in;4-7;Yellow;
Zizia aptera;1-3 Feet;1-2 ft;18-24 in;3-8;Yellow;
Zizia aureus;1-3 ft;1-2 ft;18-24 in;3-9;Yellow;